"","Start","End","eDNA_Distance","GeographicDistance","TempDistance","OceanResistance","GeographicDistance_scaled","TempDistance_scaled","OceanResistance_scaled"
"61","CHAM","PVIC",0.476190476190476,51869.1145956896,-0.486000000000001,-0.0443822549492979,-1.31975249852516,-0.203322503176359,-0.328177794381281
"62","CHAM","RED",0.4375,84220.4935151424,-1.791,-0.0624217026488227,-0.863657410876171,-0.749281076520286,-0.460081376225227
"63","CHAM","SOMB",0.48314606741573,200471.341017763,-3.723,0.130743061778583,0.775266253335718,-1.55755078050532,0.952330175304039
"64","CHAM","STAFE",0.4375,228411.032498691,-3.028,0.0250514336338397,1.16916464222996,-1.26679123378192,0.179518027425625
"65","CHAM","SUAR",0.544,266149.761536752,-2.303,0.0870450627483831,1.70121148237333,-0.96348091525752,0.632812488981054
"66","CHAM","TOR",0.345238095238095,129606.982790638,-2.966,0.0740113647565424,-0.223791182740225,-1.24085297205984,0.537510710432627
"67","CMAR","BAR",0.522935779816514,155809.29897816,0.290999999999997,0.126623219923518,0.14561340208161,0.121742486469794,0.922206088005734
"68","CMAR","CDOU",0.526315789473684,93108.7268664709,4.297,-0.061349200648992,-0.738349627875267,1.79768888096464,-0.452239292716418
"69","CMAR","CHAM",0.572519083969466,113548.818633417,3.461,-0.0343543517539964,-0.450181835423212,1.4479407067765,-0.254854244133151
"70","CMAR","CORA",0.426229508196721,146792.602895151,-0.648000000000003,0.113431723359923,0.0184945302547447,-0.271096670901813,0.8257504938211
"71","CMAR","CUEV",0.407407407407407,169741.60936788,0.462,0.214807372711184,0.342033416949394,0.193281885735551,1.56700441045512
"72","CMAR","DAPH",0.415584415584416,109412.224228334,0.212999999999997,0.159132836989461,-0.508500227119963,0.0891104797871684,1.15991485862879
"73","CMAR","EGAS",0.328947368421053,49319.4507558268,0.110999999999997,0.287818027734398,-1.35569808079579,0.0464378556637351,2.10085484039862
"74","CMAR","ELI",0.559139784946237,146708.891915192,3.598,0.0211874170761261,0.0173143590219623,1.50525589800111,0.151264522509277
"75","CMAR","GARD",0.373737373737374,235199.288353758,0.534999999999997,0.210131055858352,1.26486659536491,0.223822097118007,1.53281140449396
"76","CMAR","PCAL",0.4,87702.0116386167,-0.476000000000003,0.103058851438196,-0.814574392880831,-0.199138912576024,0.749904548686077
"77","CMAR","PESP",0.514285714285714,93908.0114130493,3.629,-0.0219861920743993,-0.727081182216867,1.51822502886215,-0.16441885000522
"78","CMAR","PIN",0.370689655172414,83482.3183047131,-0.377000000000002,-0.100664007167661,-0.874064327012244,-0.157721365632691,-0.739707284291945
"79","CMAR","PLAZ",0.442028985507246,137396.795302408,0.218,0.140307821313152,-0.11396911830301,0.091202275087338,1.02226724117767
"80","CMAR","PMAN",0.515384615384615,117479.515750502,2.779,-0.00809535889846295,-0.394766217727222,1.16261982783354,-0.0628497398405562
"81","CMAR","PMOR",0.590909090909091,146835.677638526,4.48,-0.0028623280888193,0.0191018051070464,1.8742485889508,-0.0245860679594096
"82","CMAR","PROJ",0.383177570093458,73236.625953135,-0.0330000000000013,0.271721209996229,-1.01850979138495,-0.0138058489811113,1.98315567624906
"83","CMAR","PVIC",0.547619047619048,68052.1077080625,2.975,-0.0949915693736863,-1.09160198659837,1.24461820360014,-0.698230689482896
"84","CMAR","RED",0.491071428571429,57734.2876795352,1.67,-0.25472000598436,-1.23706431888332,0.698659630256213,-1.86615740554508
"85","CMAR","SOMB",0.337078651685393,88301.5796866186,-0.262,0.230720383104643,-0.806121583432251,-0.109610073728819,1.68335958406015
"86","CMAR","STAFE",0.385416666666667,166268.65659415,0.433,0.169241343007718,0.293071154670592,0.181149472994575,1.23382777287695
"87","CMAR","SUAR",0.456,227021.617217471,1.158,0.211937903929676,1.14957643592671,0.484459791518979,1.54602299147962
"88","CMAR","TOR",0.44047619047619,128765.969123634,0.494999999999997,0.140379606585479,-0.235647932436157,0.207087734716661,1.02279213166774
"89","CORA","BAR",0.596330275229358,206664.553912996,0.939,0.105269373901654,0.862579192463072,0.392839157371607,0.766067783588457
"90","CORA","CDOU",0.586466165413534,225021.935018026,4.945,-0.117850298314751,1.12138458573396,2.06878555186645,-0.865372626084742
"91","CORA","CHAM",0.603053435114504,245462.026784972,4.109,-0.10132337111933,1.40955237818601,1.71903737767831,-0.744528522082181
"92","CORA","CMAR",0.396551724137931,146792.602895152,0.648000000000003,-0.111527430504891,0.0184945302547586,0.271096670901813,-0.819140117998129
"93","CORA","CUEV",0.5,183234.884484689,1.11,0.187750304461237,0.532263839967697,0.464378556637363,1.36916441691373
"94","CORA","DAPH",0.454545454545455,93090.5444246004,0.861000000000001,0.147523246230726,-0.738605966946292,0.360207150688982,1.07502608429786
"95","CORA","EGAS",0.355263157894737,121182.880825793,0.759,-0.00748550721318722,-0.342555564734147,0.317534526565548,-0.0583905333825029
"96","CORA","ELI",0.634408602150538,278622.100066748,4.246,-0.0629633731912582,1.8770485726312,1.77635256890292,-0.464042045416251
"97","CORA","GARD",0.474747474747475,194435.049383833,1.183,0.211525790859874,0.690165616089102,0.49491876801982,1.54300964035396
"98","CORA","PCAL",0.390909090909091,59523.0259493663,0.172000000000001,-0.118922644218725,-1.21184639107903,0.07195775832579,-0.873213568228087
"99","CORA","PESP",0.542857142857143,225821.219564605,4.277,-0.100873781509822,1.13265303139237,1.78932169976397,-0.741241144284273
"100","CORA","PIN",0.362068965517241,101756.235031984,0.271000000000001,-0.175423694597061,-0.61643562833556,0.113375305269122,-1.28634655583303
"101","CORA","PLAZ",0.507246376811594,102390.29357683,0.866000000000003,0.173293588704555,-0.607496566161236,0.362298945989151,1.26345760028783
"102","CORA","PMAN",0.584615384615385,249392.723902057,3.427,-0.0872841140254568,1.464967995882,1.43371649873535,-0.64187414330324
"103","CORA","PMOR",0.654545454545455,278748.885790082,5.128,-0.0758277082580198,1.87883601871629,2.14534525985261,-0.558105450328101
"104","CORA","PROJ",0.420560747663551,119096.447581044,0.615000000000002,0.0627164919789678,-0.371970445503428,0.257290821920702,0.454923138980924
"105","CORA","PVIC",0.53968253968254,199965.315859618,3.623,-0.136723626557131,0.768132227010863,1.51571487450195,-1.00337350271646
