Isla Tortuga (lat -1.01  lon -90.88),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
-8,-91.082,-0.83579,116.265,57.816,106.4,136.266,-91.1039,-0.715503
-9,-90.9096,-0.848425,131.709,63.5732,114.121,152.329,-90.9909,-0.782494
-10,-90.7706,-0.850858,142.176,66.7365,108.973,163.402,-90.948,-0.723007
-11,-90.6771,-0.862379,266.481,69.5851,108.115,289.477,-90.9039,-0.719912
Cabo Marshall (lat -0.00  lon -91.22),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-91.2186,0.00358355,28.9806,0.934927,5.14915,29.2218,-91.2193,0.00279125
-1,-91.1032,-0.230321,50.4653,12.2741,90.109,51.1264,-91.0678,-0.259271
-2,-91.0065,-0.397779,60.4246,28.2969,111.56,61.6816,-90.9319,-0.472022
-3,-90.9692,-0.479255,65.7312,35.658,100.401,68.1686,-90.8305,-0.609446
-4,-90.9314,-0.50846,74.4491,39.0463,110.697,78.6502,-90.7433,-0.652358
-5,-90.8635,-0.547735,89.6182,40.9879,131.292,96.5981,-90.677,-0.6797
-6,-90.7503,-0.624073,103.835,38.0754,155.321,114.148,-90.5891,-0.684056
-7,-90.6525,-0.706605,115.598,38.394,158.752,128.878,-90.5621,-0.719572
-8,-90.5697,-0.772552,128.145,44.7766,150.169,143.643,-90.5496,-0.751958
-9,-90.4651,-0.815015,145.218,49.3381,158.748,162.565,-90.5292,-0.759647
-10,-90.3214,-0.869463,161.367,52.2074,163.036,180.615,-90.4751,-0.777582
-11,-90.1867,-0.924102,315.622,56.8002,151.02,338.42,-90.4116,-0.825648
Cabo Ibbetson (lat -0.60  lon -90.79),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-90.7888,-0.599927,28.3363,1.06267,7.7233,28.7711,-90.7888,-0.599926
-1,-90.6352,-0.80345,53.5609,9.88737,116.702,54.332,-90.6127,-0.812639
-2,-90.4206,-0.877721,77.8492,14.5415,156.172,78.8642,-90.4278,-0.883841
-3,-90.2085,-0.930289,102.041,18.2987,169.9,103.692,-90.2542,-0.923296
-4,-90.0053,-1.0087,126.166,20.4696,175.045,128.16,-90.1148,-0.960813
-5,-89.8004,-1.08059,148.613,23.6869,176.757,150.92,-90.0131,-0.99715
-6,-89.6041,-1.12814,169.81,28.6566,181.044,172.396,-89.816,-1.02433
-7,-89.4182,-1.17129,189.382,33.7853,195.629,192.295,-89.6603,-1.05086
-8,-89.2481,-1.2169,206.804,37.682,187.045,210.445,-89.5367,-1.08891
-9,-89.0983,-1.26341,222.777,41.1207,185.325,227.377,-89.4248,-1.13051
-10,-88.965,-1.31722,237.393,44.0937,183.604,243.206,-89.334,-1.16367
-11,-88.851,-1.38291,469.549,46.7287,155.283,476.424,-89.2358,-1.19377
Punta Calle (lat -0.29  lon -90.50),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-90.5055,-0.283292,10.3896,1.06269,7.72363,11.3748,-90.5055,-0.283291
-1,-90.4932,-0.375977,16.4763,5.1055,106.414,19.7275,-90.4898,-0.365445
-2,-90.4717,-0.426343,19.9749,9.07971,114.137,25.8584,-90.4708,-0.364649
-3,-90.4578,-0.454597,21.6006,10.3474,106.413,29.3532,-90.4612,-0.344753
-4,-90.4474,-0.464945,24.6966,10.8111,60.93,32.9986,-90.4138,-0.301584
-5,-90.4211,-0.474138,27.5076,9.45154,54.0647,36.3411,-90.3801,-0.349753
-6,-90.3976,-0.483461,29.9263,8.79395,48.9155,39.6136,-90.3299,-0.384549
-7,-90.3771,-0.490564,32.1262,9.88513,50.6317,42.3319,-90.2302,-0.422841
-8,-90.3575,-0.493401,34.1014,12.5894,51.4898,44.7947,-90.1595,-0.435989
-9,-90.3399,-0.496215,35.8414,15.4928,53.206,46.9669,-90.1128,-0.448518
-10,-90.3243,-0.496669,37.7407,18.2901,43.7662,49.3157,-90.0688,-0.436164
-11,-90.3073,-0.494534,69.3939,21.3696,47.1988,86.2413,-89.9868,-0.393915
Salvaje de Corazon (lat -0.31  lon -89.98),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-89.9722,-0.308289,18.4786,1.06258,7.72361,18.9816,-89.9722,-0.308289
-1,-89.819,-0.372941,37.2057,4.56568,82.3847,37.91,-89.8171,-0.360179
-2,-89.6592,-0.426401,58.1033,7.51325,102.98,59.0238,-89.6606,-0.408591
-3,-89.4834,-0.493121,79.2173,11.3013,107.27,80.7024,-89.5069,-0.469297
-4,-89.3305,-0.605939,95.1518,16.4629,117.566,97.4773,-89.36,-0.582911
-5,-89.2421,-0.718888,109.894,17.2326,90.1034,112.518,-89.2528,-0.695192
-6,-89.1343,-0.796165,124.195,19.2579,89.2438,127.397,-89.1646,-0.768793
-7,-89.0102,-0.830531,137.104,23.1329,102.973,141.04,-89.0935,-0.795147
-8,-88.8942,-0.825205,149.229,27.1677,101.256,153.552,-89.0157,-0.813551
-9,-88.7861,-0.810097,158.895,31.2659,105.547,163.49,-88.9106,-0.809726
-10,-88.6991,-0.812138,168.119,35.3271,101.975,173.062,-88.8379,-0.791198
-11,-88.6174,-0.827012,329.498,39.3347,119.784,335.756,-88.7868,-0.805982
Cerca a Puerto Egas (lat -0.26  lon -90.87),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-90.8763,-0.258295,18.6035,0.896357,5.1491,18.7169,-90.8763,-0.258294
-1,-90.7591,-0.377803,28.8313,3.26597,51.4904,29.0914,-90.7896,-0.348346
-2,-90.6944,-0.443285,40.2273,5.55683,60.0717,41.0574,-90.7374,-0.397715
-3,-90.6311,-0.523987,50.9616,9.31623,58.3547,53.2285,-90.6891,-0.453872
-4,-90.55,-0.57647,64.2484,13.6341,59.2122,67.6731,-90.6122,-0.519631
-5,-90.4326,-0.59924,73.2955,19.6019,42.907,76.9891,-90.5273,-0.560909
-6,-90.3515,-0.59183,80.1121,24.5759,44.6233,84.3642,-90.4694,-0.559953
-7,-90.3002,-0.625463,87.2217,32.2939,50.6292,92.5699,-90.409,-0.603313
-8,-90.2429,-0.653834,92.5841,39.9075,48.912,98.0585,-90.2634,-0.691049
