"BAR-1","BAR-2","BAR-3","C-C","C-D","C2","C3","C4","C6","CDOU-2","CDOU-3","CDOU-C","CDOU1-REDO-U","CHAM-1","CHAM-2","CHAM-3","CHAM-C","CMAR-1","CMAR-2","CMAR-3","CMAR-C","CORA-1","CORA-2","CORA-3","CORA-C","CUEV-1","CUEV-2","CUEV-3","CUEV-C","DAPH-1","DAPH-2","DAPH-3","DAPH-C","EGAS-1","EGAS-2","EGAS-3","EGAS-C","ELI-1","ELI-2","ELI-3","ELI-C","GARD-1","GARD-2","GARD-3","GARD-C","PCAL-1","PCAL-2","PCAL-3","PCAL-C","PCR1-NTC-1","PCR1-NTC-2","PESP-1","PESP-2","PESP-3","PESP-C","PIN-1","PIN-2","PIN-3","PIN-C","PLAZ-1","PLAZ-2","PLAZ-3","PLAZ-C","PMAN-1","PMAN-2","PMAN-3","PMAN-C","PMOR-1","PMOR-2","PMOR-3","PMOR-C","PROJ-1","PROJ-2","PROJ-3","PROJ-C","PVIC-1","PVIC-2","PVIC-3","PVIC-C","RED-1","RED-2","RED-3","RED-C","SOMB-1","SOMB-2","SOMB-3","SOMB-C","STAFE-1","STAFE-2","STAFE-3","SUAR-1","SUAR-2","SUAR-3","SUAR-C","TOR-1","TOR-2","TOR-3"
"ASV_42",740,845,1833,0,0,0,0,0,0,111,51,0,0,0,60,0,0,758,1192,9411,0,4,12,0,0,5271,1110,490,0,40,292,1632,0,234,283,1554,0,155,248,100,0,0,125,153,0,1235,1852,79,0,0,0,205,269,837,0,191,603,154,0,0,341,356,0,1822,50,435,0,0,0,0,0,940,198,633,0,0,215,230,0,390,11,69,0,836,566,253,0,716,75,601,0,313,0,0,0,264,201
"ASV_43",0,187,0,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,226,0,0,0,0,0,0,379,1557,6073,0,0,0,0,0,0,0,0,0,0,0,0,0,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2488,594,28641
"ASV_44",0,0,0,0,0,0,0,0,0,265,6707,0,182,895,1149,1117,0,0,0,0,0,0,0,0,0,1124,866,409,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,4745,0,1073,0,0,200,0,0,773,219,508,0,1580,9,945,0,5407,2239,4258,0,0,0,0,0,1819,1104,1211,0,0,0,0,0,0,0,0,0,255,0,424,0,0,338,0,0,0,0
"ASV_45",0,370,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1422,1209,604,0,33,867,1367,0,0,0,2015,0,0,0,0,0,0,0,0,0,362,1761,69,0,1688,2979,1041,0,51,428,0,0,0,0,0,0,456,0,744,146,265,0,2206,1475,390,0,2091,201,2787,0,0,0,139,0,844,703,1493,0,0,0,0,0,0,0,0,0,114,585,1479,0,1582,0,1609,0,356,3429,0,0,0,0
"ASV_46",0,0,0,38284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_47",0,0,0,0,0,0,0,0,0,0,0,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,2082,32531,0,347,0,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,0,0,0,17,0,0,0,0,0,0,0,6101,8998,1987,0,0,0,391,0,0,0,0,0,0,0,1051,2523,0,0,0,0,0,0,0,0,0,0,2264,15,0,0,7084,5153,642,0,0,0,0,0,0,424,53,0,0,0,0,0,0,0,0,0,214,0,0,390,0,0,0,0,0,0
"ASV_49",12247,8904,8655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,508,0,408,0,0,0,0,0,0,0,0,0,137,2297,0,0,209,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,1727,36,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896,0,0,0,0,0,0
"ASV_50",411,13,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12387,8502,14922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_51",0,0,0,0,0,0,0,0,0,0,0,0,0,1549,770,1166,0,0,0,0,0,0,92,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5800,21559,2550,0,0,0,0,0,0,0,184,546,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657,0,0,0,205,58,0,0,0,0,0,0,411,0,204,0,0,0,0,0,0,0
"ASV_52",0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,131,167,0,501,165,261,0,1392,0,1160,0,4911,67,87,0,354,0,0,0,0,0,0,0,0,14646,0,0,675,1557,0,0,0,0,0,0,65,0,55,102,0,0,0,183,0,0,0,0,0,0,0,0,0,0,167,259,366,0,0,0,0,0,163,52,121,0,0,2014,0,0,1919,183,1817,0,0,130,0,0,0,0
