"","Start","End","Flat","Flon","Tlat","Tlon","Calcdistance"
"344","SUAR","PMAN",-1.35056666666667,-89.7104333333333,-0.458566666666667,-91.3908333333333,267621.927368183
"345","TOR","PMAN",-1.01171666666667,-90.8767,-0.458566666666667,-91.3908333333333,131079.148622054
"346","BAR","PMOR",-1.03875,-91.1563666666667,-0.7223,-91.3450666666667,77408.4695017145
"347","CDOU","PMOR",-0.302816666666667,-91.6517333333333,-0.7223,-91.3450666666667,62681.0196674737
"348","CHAM","PMOR",-0.469583333333333,-91.6111833333333,-0.7223,-91.3450666666667,41788.4099211284
"349","CMAR","PMOR",-0.00133333333333333,-91.22385,-0.7223,-91.3450666666667,146835.67763859
"350","CORA","PMOR",0.311316666666667,-89.97515,-0.7223,-91.3450666666667,278748.88579013
"351","CUEV","PMOR",-1.25335,-90.3741,-0.7223,-91.3450666666667,168033.452294407
"352","DAPH","PMOR",-0.4258,-90.3721166666667,-0.7223,-91.3450666666667,190612.494059907
"353","EGAS","PMOR",-0.2596,-90.8687833333333,-0.7223,-91.3450666666667,191389.085281832
"354","ELI","PMOR",-0.59505,-91.0859,-0.7223,-91.3450666666667,33055.8968536958
"355","GARD","PMOR",-1.36546666666667,-89.6393166666667,-0.7223,-91.3450666666667,253493.103272924
"356","PCAL","PMOR",0.286433333333333,-90.5018166666667,-0.7223,-91.3450666666667,219658.25703525
"357","PESP","PMOR",-0.272283333333333,-91.4353833333333,-0.7223,-91.3450666666667,53327.7411170059
"358","PIN","PMOR",0.603883333333333,-90.7898333333333,-0.7223,-91.3450666666667,201760.820296179
"359","PLAZ","PMOR",-0.567566666666667,-90.1736166666667,-0.7223,-91.3450666666667,208099.763394362
"360","PMAN","PMOR",-0.458566666666667,-91.3908333333333,-0.7223,-91.3450666666667,30237.3237311791
"361","PMOR","PMOR",-0.7223,-91.3450666666667,-0.7223,-91.3450666666667,0
"362","PROJ","PMOR",-0.40895,-90.7155333333333,-0.7223,-91.3450666666667,173236.59474818
"363","PVIC","PMOR",-0.0453666666666667,-91.5430166666667,-0.7223,-91.3450666666667,80882.9636569217
"364","RED","PMOR",0.2706,-91.6264833333333,-0.7223,-91.3450666666667,118883.736943071
"365","SOMB","PMOR",-0.350816666666667,-90.5685,-0.7223,-91.3450666666667,183541.887480017
"366","STAFE","PMOR",-0.799483333333333,-90.04745,-0.7223,-91.3450666666667,206185.995456742
"367","SUAR","PMOR",-1.35056666666667,-89.7104333333333,-0.7223,-91.3450666666667,243924.724494813
"368","TOR","PMOR",-1.01171666666667,-90.8767,-0.7223,-91.3450666666667,107381.945748684
"369","BAR","PROJ",-1.03875,-91.1563666666667,-0.40895,-90.7155333333333,97683.1649810533
"370","CDOU","PROJ",-0.302816666666667,-91.6517333333333,-0.40895,-90.7155333333333,164966.322086978
"371","CHAM","PROJ",-0.469583333333333,-91.6111833333333,-0.40895,-90.7155333333333,185406.41385394
