"","Start","End","TempDiff"
"508","CDOU","TOR",-3.79070138931274
"509","CHAM","TOR",-3.15828657150269
"510","CMAR","TOR",0.174992561340332
"511","CORA","TOR",0.576165676116943
"512","CUEV","TOR",0.143607616424561
"513","DAPH","TOR",-0.133122444152832
"514","EGAS","TOR",0.161509990692139
"515","ELI","TOR",-2.83751153945923
"516","GARD","TOR",0.410283883412678
"517","PCAL","TOR",0.422554492950439
"518","PESP","TOR",-3.38757371902466
"519","PIN","TOR",-0.920711517333984
"520","PLAZ","TOR",0.17933988571167
"521","PMAN","TOR",-2.4830756187439
"522","PMOR","TOR",-3.73682069778442
"523","PROJ","TOR",0.375435829162598
"524","PVIC","TOR",-2.81255006790161
"525","RED","TOR",-1.94240283966064
"526","SOMB","TOR",0.729408740997314
"527","STAFE","TOR",-0.085411548614502
"528","SUAR","TOR",-0.771387100219727
"529","TOR","TOR",0
