"","Start","End","Flat","Flon","Tlat","Tlon","Calcdistance"
"181","SOMB","EGAS",-0.350816666666667,-90.5685,-0.2596,-90.8687833333333,41040.6391375889
"182","STAFE","EGAS",-0.799483333333333,-90.04745,-0.2596,-90.8687833333333,120011.40119682
"183","SUAR","EGAS",-1.35056666666667,-89.7104333333333,-0.2596,-90.8687833333333,181245.969448069
"184","TOR","EGAS",-1.01171666666667,-90.8767,-0.2596,-90.8687833333333,88792.3256601343
"185","BAR","ELI",-1.03875,-91.1563666666667,-0.59505,-91.0859,110252.20485986
"186","CDOU","ELI",-0.302816666666667,-91.6517333333333,-0.59505,-91.0859,79076.9028433213
"187","CHAM","ELI",-0.469583333333333,-91.6111833333333,-0.59505,-91.0859,62774.6024325936
"188","CMAR","ELI",-0.00133333333333333,-91.22385,-0.59505,-91.0859,146708.891915192
"189","CORA","ELI",0.311316666666667,-89.97515,-0.59505,-91.0859,278622.100066748
"190","CUEV","ELI",-1.25335,-90.3741,-0.59505,-91.0859,200877.187652543
"191","DAPH","ELI",-0.4258,-90.3721166666667,-0.59505,-91.0859,223456.229418031
"192","EGAS","ELI",-0.2596,-90.8687833333333,-0.59505,-91.0859,194649.240746943
"193","ELI","ELI",-0.59505,-91.0859,-0.59505,-91.0859,0
"194","GARD","ELI",-1.36546666666667,-89.6393166666667,-0.59505,-91.0859,286336.838631051
"195","PCAL","ELI",0.286433333333333,-90.5018166666667,-0.59505,-91.0859,219531.471311868
"196","PESP","ELI",-0.272283333333333,-91.4353833333333,-0.59505,-91.0859,53200.9552246536
"197","PIN","ELI",0.603883333333333,-90.7898333333333,-0.59505,-91.0859,201634.034572797
"198","PLAZ","ELI",-0.567566666666667,-90.1736166666667,-0.59505,-91.0859,240943.49875249
"199","PMAN","ELI",-0.458566666666667,-91.3908333333333,-0.59505,-91.0859,37317.8833873664
"200","PMOR","ELI",-0.7223,-91.3450666666667,-0.59505,-91.0859,33055.8968947918
"201","PROJ","ELI",-0.40895,-90.7155333333333,-0.59505,-91.0859,206080.330106293
"202","PVIC","ELI",-0.0453666666666667,-91.5430166666667,-0.59505,-91.0859,80756.1779335356
"203","RED","ELI",0.2706,-91.6264833333333,-0.59505,-91.0859,118756.951219679
"204","SOMB","ELI",-0.350816666666667,-90.5685,-0.59505,-91.0859,216385.622838086
"205","STAFE","ELI",-0.799483333333333,-90.04745,-0.59505,-91.0859,239029.730814882
"206","SUAR","ELI",-1.35056666666667,-89.7104333333333,-0.59505,-91.0859,276768.459852943
"207","TOR","ELI",-1.01171666666667,-90.8767,-0.59505,-91.0859,140225.681106829
"208","BAR","GARD",-1.03875,-91.1563666666667,-1.36546666666667,-89.6393166666667,178589.690405996
"209","CDOU","GARD",-0.302816666666667,-91.6517333333333,-1.36546666666667,-89.6393166666667,296693.535160989
"210","CHAM","GARD",-0.469583333333333,-91.6111833333333,-1.36546666666667,-89.6393166666667,275718.140314859
"211","CMAR","GARD",-0.00133333333333333,-91.22385,-1.36546666666667,-89.6393166666667,235199.288353758
"212","CORA","GARD",0.311316666666667,-89.97515,-1.36546666666667,-89.6393166666667,194435.049383833
"213","CUEV","GARD",-1.25335,-90.3741,-1.36546666666667,-89.6393166666667,86677.1583135663
"214","DAPH","GARD",-0.4258,-90.3721166666667,-1.36546666666667,-89.6393166666667,136016.337532812
"215","EGAS","GARD",-0.2596,-90.8687833333333,-1.36546666666667,-89.6393166666667,189423.640584357
"216","ELI","GARD",-0.59505,-91.0859,-1.36546666666667,-89.6393166666667,286336.83863105
"217","GARD","GARD",-1.36546666666667,-89.6393166666667,-1.36546666666667,-89.6393166666667,0
"218","PCAL","GARD",0.286433333333333,-90.5018166666667,-1.36546666666667,-89.6393166666667,207289.118830724
"219","PESP","GARD",-0.272283333333333,-91.4353833333333,-1.36546666666667,-89.6393166666667,301161.861027368
"220","PIN","GARD",0.603883333333333,-90.7898333333333,-1.36546666666667,-89.6393166666667,255924.711247112
"221","PLAZ","GARD",-0.567566666666667,-90.1736166666667,-1.36546666666667,-89.6393166666667,108031.762891565
"222","PMAN","GARD",-0.458566666666667,-91.3908333333333,-1.36546666666667,-89.6393166666667,277190.30614623
"223","PMOR","GARD",-0.7223,-91.3450666666667,-1.36546666666667,-89.6393166666667,253493.103272892
"224","PROJ","GARD",-0.40895,-90.7155333333333,-1.36546666666667,-89.6393166666667,164954.712530881
"225","PVIC","GARD",-0.0453666666666667,-91.5430166666667,-1.36546666666667,-89.6393166666667,303145.306793569
"226","RED","GARD",0.2706,-91.6264833333333,-1.36546666666667,-89.6393166666667,292827.486765042
"227","SOMB","GARD",-0.350816666666667,-90.5685,-1.36546666666667,-89.6393166666667,159189.128460906
"228","STAFE","GARD",-0.799483333333333,-90.04745,-1.36546666666667,-89.6393166666667,79728.9443048454
