"","journeyID","pathPoints2_oct_surf","pathPoints2_oct_20","pathPoints2_oct_50","pathPoints2_year_surf","pathPoints2_year_20","pathPoints2_year_50","pathPoints2old_oct_surf","pathPoints2old_oct_20","pathPoints2old_oct_50","pathPoints2old_year_surf","pathPoints2old_year_20","pathPoints2old_year_50"
"188","ELI_PIN",-0.0417631613920805,-0.0225467594921732,0.033310758372347,-0.0334487193184491,-0.00990555421390615,0.0569623902665625,-0.0404850842112958,-0.0223767787229178,0.0388611483068213,-0.0296829356576236,-0.00697299095935954,0.0642115013995716
"189","ELI_PLAZ",-0.0269835896478896,-0.049565506130112,-0.0240772319637868,-0.0563342349081475,-0.0681383098960718,-0.0331572528346012,-0.0182159997918166,-0.0456796611058025,-0.018343764655132,-0.048414768232937,-0.0652801033095907,-0.0320445413206361
"190","ELI_PMAN",-0.107823633804728,-0.0309043156245114,-0.00260637703058716,-0.0948029804209627,-0.0222856845005989,-0.00273134668501722,-0.100531278068696,-0.0251415948040412,-0.00114912769014702,-0.0900548068638033,-0.0192787284895243,-0.00229079631752881
"191","ELI_PMOR",-0.0464447925348034,-0.00834516597749535,-0.00615969884747124,-0.0361772060633924,-0.00783638322564118,-0.0079870829525596,-0.0355992228754827,-0.00505310885193012,-0.00559407314868777,-0.0284377439928888,-0.00580862601478609,-0.0071731802490325
"192","ELI_PROJ",-0.038020316547147,-0.034722996784751,-0.0190312139047744,-0.0560158746445032,-0.0465896480954396,-0.0228439839433905,-0.0333681246345802,-0.0317241542259948,-0.0197752127347031,-0.0546215973581799,-0.0472224466444963,-0.0236614596426768
"193","ELI_PVIC",-0.116460229552134,-0.0422550638642279,0.0182760024135563,-0.117634129629638,-0.0375220421013929,0.0146510671967541,-0.117592760536215,-0.0397676316628454,0.0153318719565259,-0.122690033862536,-0.0389549451580305,0.0108508580454012
"194","ELI_RED",-0.114225344231869,-0.0396526394126075,0.0458235472441455,-0.123451142119566,-0.0403244248106732,0.03542926622866,-0.107024613434554,-0.0323815704694437,0.0452309275085855,-0.116473584638288,-0.0345084583936731,0.0356338011260635
"195","ELI_SOMB",-0.0356134236360122,-0.0362857161006084,-0.0229197407493,-0.0616039718888853,-0.056267008804206,-0.0305390021851221,-0.0243977330670989,-0.0299575412398188,-0.0213098924349905,-0.0503314754379491,-0.0508970838912599,-0.0287513236132201
"196","ELI_STAFE",-0.0226834638152441,-0.0540591934094546,-0.0234759575361987,-0.0543300225279654,-0.0759492683923132,-0.0380837930917412,-0.0074810846139205,-0.0473365490230958,-0.0151534892453367,-0.0416099170131643,-0.0733354526436786,-0.0392099192860286
"197","ELI_SUAR",0.0553920885466454,0.00317915994431928,0.00032886268984662,0.0445139248122003,-0.00644449137454045,-0.00675265879284008,0.0603792009266278,0.00349533048009509,0.00374836327358023,0.0396659912748399,-0.0129361839431698,-0.00787493520751544
"198","ELI_TOR",-0.00377990775449,-0.0215006329016768,-0.0144472265045415,-0.0185922023750106,-0.0337792935222195,-0.0171766850121674,0.0181400708023241,-0.00860275793167779,-0.0109581861668924,0.000723436103369529,-0.0246936367500265,-0.0153305835355188
"199","GARD_BAR",-0.0712230052147107,0.00125294142434009,-0.000409742030195882,-0.0586772651018043,0.00875328045323964,0.00683789845853135,-0.0545242943077932,0.0130428349995821,-0.00490777818047697,-0.0334880159638385,0.0249858086151746,0.00944881413065634
"200","GARD_CDOU",-0.0859991946622182,-0.0126499511969785,0.0114693828808287,-0.069180887351973,0.00313834631032091,0.0206011330097074,-0.0898420121559391,-0.00995566179460622,0.0158151754089929,-0.0627945084888833,0.0121066658641256,0.0276858637901204
