"","BAR.1","BAR.2","BAR.3","CDOU.1","CDOU.2","CDOU.3","CHAM.1","CHAM.2","CHAM.3","CMAR.1","CMAR.2","CMAR.3","CORA.1","CORA.2","CORA.3","CUEV.1","CUEV.2","CUEV.3","DAPH.1","DAPH.2","DAPH.3","EGAS.1","EGAS.2","EGAS.3","ELI.1","ELI.2","ELI.3","GARD.1","GARD.2","GARD.3","PCAL.1","PCAL.2","PCAL.3","PESP.1","PESP.2","PESP.3","PIN.1","PIN.2","PIN.3","PLAZ.1","PLAZ.2","PLAZ.3","PMAN.1","PMAN.2","PMAN.3","PMOR.1","PMOR.2","PMOR.3","PROJ.1","PROJ.2","PROJ.3","PVIC.1","PVIC.2","PVIC.3","RED.1","RED.2","RED.3","SOMB.1","SOMB.2","SOMB.3","STAFE.1","STAFE.2","STAFE.3","SUAR.1","SUAR.2","SUAR.3","TOR.1","TOR.2","TOR.3"
"ASV_42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17395,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_45",8,57,0,11,97,68,85,5,52,0,0,0,0,0,0,0,0,107,0,124,0,0,0,14,188,64,0,0,0,0,0,0,0,0,0,33,185,12632,12,0,0,0,21,0,6,307,129,33,0,0,0,0,0,4,0,0,0,0,0,0,0,0,96,0,0,0,9,5,356
"ASV_46",51,93,80,301,51,681,0,97,171,0,83,112,780,1007,0,127,0,208,304,0,0,0,171,0,42,0,82,228,129,0,148,88,0,0,249,356,148,116,0,183,0,261,155,1907,0,0,0,38,387,521,172,354,0,0,257,1837,0,74,0,0,0,150,446,1164,343,355,68,0,0
"ASV_47",0,30,0,0,0,0,0,0,0,214,269,23,38,309,385,0,0,47,0,0,0,0,0,0,112,252,0,1059,963,298,0,0,0,68,0,127,436,0,100,830,198,106,70,674,301,0,0,90,693,317,874,0,0,0,0,0,0,297,294,1165,369,411,1046,1646,49,160,0,0,0
"ASV_48",71,53,96,0,0,99,0,0,0,342,1872,1588,0,646,143,12,0,0,0,0,0,554,108,353,109,113,0,289,956,770,22,0,0,8,0,0,0,0,0,540,473,32,120,1644,486,0,0,394,674,324,0,0,274,22,0,0,0,0,0,0,48,622,122,0,36,163,0,0,0
"ASV_49",511,60,1757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1059,9968,487,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13633,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_51",0,0,0,0,0,0,9,0,0,0,116,50,155,89,181,0,75,0,1371,460,295,743,0,0,0,0,0,539,822,103,2516,809,991,0,0,0,245,238,119,22,0,132,0,0,0,0,0,0,73,0,0,0,236,0,200,11,244,1227,565,270,356,152,0,0,95,0,0,0,0
"ASV_52",0,0,0,144,0,32,101,113,104,47,94,921,633,1116,442,129,593,880,0,0,0,0,0,0,0,0,0,150,81,0,673,208,93,0,0,0,494,176,105,441,148,421,0,0,0,0,0,75,0,0,0,0,6,0,0,315,3,0,0,1335,101,98,778,133,0,1553,277,0,0
