"","BAR.1","BAR.2","BAR.3","CDOU.2","CDOU.3","CDOU1.REDO.U","CHAM.1","CHAM.2","CHAM.3","CMAR.1","CMAR.2","CMAR.3","CORA.1","CORA.2","CORA.3","CUEV.1","CUEV.2","CUEV.3","DAPH.1","DAPH.2","DAPH.3","EGAS.1","EGAS.2","EGAS.3","ELI.1","ELI.2","ELI.3","GARD.1","GARD.2","GARD.3","PCAL.1","PCAL.2","PCAL.3","PESP.1","PESP.2","PESP.3","PIN.1","PIN.2","PIN.3","PLAZ.1","PLAZ.2","PLAZ.3","PMAN.1","PMAN.2","PMAN.3","PMOR.1","PMOR.2","PMOR.3","PROJ.1","PROJ.2","PROJ.3","PVIC.1","PVIC.2","PVIC.3","RED.1","RED.2","RED.3","SOMB.1","SOMB.2","SOMB.3","STAFE.1","STAFE.2","STAFE.3","SUAR.1","SUAR.2","SUAR.3","TOR.1","TOR.2","TOR.3"
"ASV_43",0,187,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,142,226,0,0,0,0,379,1557,6073,0,0,0,0,0,0,0,0,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2488,594,28641
"ASV_44",0,0,0,265,6707,182,895,1149,1117,0,0,0,0,0,0,1124,866,409,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,4745,0,1073,0,200,0,773,219,508,1580,9,945,5407,2239,4258,0,0,0,1819,1104,1211,0,0,0,0,0,0,255,0,424,0,0,338,0,0,0
"ASV_45",0,370,45,0,0,0,0,0,0,1422,1209,604,33,867,1367,0,0,2015,0,0,0,0,0,0,362,1761,69,1688,2979,1041,51,428,0,0,0,456,744,146,265,2206,1475,390,2091,201,2787,0,0,139,844,703,1493,0,0,0,0,0,0,114,585,1479,1582,0,1609,0,356,3429,0,0,0
"ASV_47",0,0,0,0,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,2082,32531,347,0,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,0,0,17,0,0,0,0,0,6101,8998,1987,0,0,391,0,0,0,1051,2523,0,0,0,0,0,0,0,2264,15,0,7084,5153,642,0,0,0,0,424,53,0,0,0,0,0,0,214,0,0,390,0,0,0,0,0
"ASV_49",12247,8904,8655,0,0,0,0,0,0,0,400,0,0,0,0,508,0,408,0,0,0,0,0,0,137,2297,0,209,498,0,0,0,0,0,0,0,0,0,0,99,0,0,1727,36,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896,0,0,0,0,0
"ASV_50",411,13,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12387,8502,14922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_51",0,0,0,0,0,0,1549,770,1166,0,0,0,0,92,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5800,21559,2550,0,0,0,184,546,222,0,0,0,0,0,0,0,0,0,0,0,0,657,0,0,205,58,0,0,0,0,411,0,204,0,0,0,0,0,0
"ASV_52",0,0,159,0,0,0,0,0,0,479,131,167,501,165,261,1392,0,1160,4911,67,87,354,0,0,0,0,0,0,14646,0,675,1557,0,0,0,65,55,102,0,0,183,0,0,0,0,0,0,0,167,259,366,0,0,0,163,52,121,0,2014,0,1919,183,1817,0,0,130,0,0,0
"ASV_53",0,0,0,1699,1759,347,892,2144,1459,314,7011,118,0,0,0,0,0,300,12,105,0,0,0,800,105,264,0,0,504,0,227,0,0,184,657,711,0,27,36,102,106,0,0,46,68,3049,4332,739,477,141,206,553,141,62,63,15,0,0,1158,0,0,0,0,0,1822,506,0,491,0
"ASV_54",0,2296,100,130,92,35,0,0,243,0,0,0,38,0,0,0,0,313,0,47,27,0,545,0,19,73,0,0,0,0,0,0,3877,0,0,434,148,0,28,258,223,0,0,0,0,406,615,583,0,0,0,0,212,0,2384,472,4729,706,0,257,0,0,144,0,298,0,0,4667,5698
"ASV_55",0,0,121,0,306,0,393,516,201,0,695,235,0,231,0,2778,0,1456,0,44,0,1655,171,0,0,0,0,251,0,455,96,427,553,54,675,98,178,66,156,1840,1074,2036,0,0,94,754,0,544,475,481,470,0,0,211,99,0,0,0,1901,0,726,0,827,842,687,991,1062,2576,0
"ASV_56",222,868,1262,1158,4032,424,735,143,112,118,0,60,442,1360,0,1036,0,1076,38,0,0,0,0,0,69,0,0,1153,0,1877,106,0,0,100,0,472,132,647,108,807,880,662,143,119,420,0,0,399,162,499,138,147,0,0,373,0,570,246,608,248,0,0,102,0,490,2894,942,0,0
"ASV_57",0,342,221,410,915,63,4278,1507,2662,0,0,116,0,154,0,2540,0,0,0,0,0,0,1195,0,0,0,0,0,0,0,0,0,0,63,177,94,0,0,0,2711,438,679,620,24,678,0,2715,957,0,0,39,466,193,0,0,0,0,0,0,0,0,0,131,0,0,1256,0,1962,353
"ASV_58",13225,1003,856,0,0,0,399,0,0,0,0,0,0,0,0,856,603,1092,0,0,0,0,0,0,437,704,69,478,369,0,0,0,0,999,1684,398,0,0,0,0,0,0,917,36,0,2205,628,539,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_59",361,93,0,283,222,38,3134,2586,4513,0,0,102,0,0,0,657,0,781,0,20,454,0,0,604,0,0,0,0,0,0,105,0,0,0,0,2104,0,0,0,70,174,2253,1425,29,1302,0,0,433,490,226,182,932,445,494,12,0,0,243,845,262,228,95,284,0,0,0,0,0,186
"ASV_60",0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,22,169,0,1882,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,192,0,0,0,0,0,0,113,0,0,0,10616,8627,2351,0,0,0,0,657,242,0,0,0,0,0,0,0,0,660
"ASV_61",313,1013,1104,0,0,0,1068,0,0,168,583,573,310,1330,1317,1587,264,389,0,0,62,0,156,167,0,0,0,0,0,180,1211,2656,1776,0,0,0,45,138,0,166,141,586,0,0,53,0,0,0,265,285,0,267,1750,876,0,0,0,558,0,0,0,66,0,757,759,2353,0,0,0
"ASV_62",1501,211,1434,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,294,0,0,0,537,0,13,0,0,0,15994,41,647,0,0,0,0,0,0,722,586,210,0,0,0,173,0,0,0,0,0,834,0,0,0,0,0
